date,station_uuid,diesel
1417215660.0,c8fd7bd8,1.269
1417215660.0,db56e2a2,1.339
1417215660.0,75bb0d76,1.339
1417215660.0,c2301b5a,1.289
1417215660.0,ca6cf07d,1.339
1417215660.0,,1.329
1417215660.0,b05147af,1.339
1417215660.0,96e20313,1.259
1417215660.0,d02ee7d1,1.319
1417215660.0,266713de,1.319
1417215660.0,a9e224de,1.349
1417215660.0,a1143c6a,1.279
1417215660.0,26a6aed5,1.359
1417215660.0,10774c7e,1.269
1417215660.0,,1.299
1417215660.0,834ff98a,1.329
1417215660.0,74282045,1.289
1417215660.0,06fb0c54,1.339
1417215660.0,1cb6dd4e,1.339
1417215660.0,9fe5444d,1.339
1417215660.0,f9e89c40,1.289
1417215660.0,c776555a,1.309
1417215660.0,,1.289
1417215660.0,c93086be,1.349
1417215900.0,ce75f1ed,1.289
1417215900.0,be7f1ec0,1.299
1417215900.0,384d5e02,1.309
1417215900.0,43973ab1,1.289
1417215900.0,2cb63a21,1.309
1417215900.0,2ddad231,1.279
1417215900.0,0bec4dba,1.249
1417215900.0,3f15b05a,1.329
1417215900.0,55739310,1.339
1417215900.0,6791f8cd,1.299
1417215900.0,94862ec3,1.299
1417215900.0,59b6280c,1.349
1417215900.0,e7ab2eb9,1.299
1417215900.0,ca8919db,1.359
1417215900.0,ec3feaec,1.249
1417215900.0,4c0bd4b5,1.339
1417215900.0,95d6571c,1.349
1417215900.0,f2ef7300,1.289
1417215900.0,976fb373,1.309
1417215900.0,07f1bf63,1.339
1417216140.0,018fafee,1.279
1417216140.0,669333e3,1.329
1417216140.0,00bb9689,1.299
1417216140.0,0bec4dba,1.249
1417216140.0,35b3e2a2,1.289
1417216140.0,49ac9777,1.299
1417216140.0,935cf042,1.309
1417216140.0,66f21e35,1.289
1417216140.0,d860bbee,1.229
1417216380.0,c1c42ec6,1.319
1417216380.0,b45ba0f1,1.279
1417216380.0,50b27f80,1.319
1417216380.0,6d934eee,1.339
