uuid,name,brand,street,house_number,post_code,city,latitude,longitude,short_id
00060723-0001-4444-8888-acdc00000001,BAGeno Raiffeisen eG,,Künzelsauer Strasse,7,74653,Ingelfingen ,49.296821594238,9.6613845825195,905486dd
005056ba-7cb6-1ed2-bceb-5332ab168d12,famila Tankstelle,FAMILA,Pascalstrasse,9,25442,Quickborn,53.74215,9.94124,5ce764c2
005056ba-7cb6-1ed2-bceb-573c18314d16,star Tankstelle,STAR,Riehler Strasse,240,50735,Köln,50.9618,6.98007,dc352ea6
005056ba-7cb6-1ed2-bceb-662ba1a94d1f,star Tankstelle,STAR,BAB 10 / Seeberg Ost,,15345,Altlandsberg,52.55016,13.68212,f0d132f4
005056ba-7cb6-1ed2-bceb-6f7b23564d23,star Tankstelle,STAR,Duisburger Straße,130,47166,Duisburg,51.48979,6.78373,78d86c64
005056ba-7cb6-1ed2-bceb-87f71ccd4d30,star Tankstelle,STAR,Hochdahler Straße,127,40724,Hilden,51.17626,6.93881,1af22ca6
005056ba-7cb6-1ed2-bceb-8cf3efd04d33,star Tankstelle,STAR,Coswigerstraße,5,39261,Zerbst,51.96113,12.09988,e474e52b
005056ba-7cb6-1ed2-bceb-9c6b14bcad3c,star Tankstelle,STAR,Monschauer Straße,69,52355,Dueren,50.79344,6.47057,8e0ec690
005056ba-7cb6-1ed2-bceb-a256fd5a8d3e,star Tankstelle,STAR,Klausdorfer Straße,121,24161,Altenholz,54.40597,10.12324,7eac0db9
005056ba-7cb6-1ed2-bceb-a86eb5988d41,star Tankstelle,STAR,Gasanstalt,4,06311,Helbra,51.55539,11.48784,6610198a
005056ba-7cb6-1ed2-bceb-bc577a5e6d4e,star Tankstelle,STAR,Hamburger Strasse,141,25337,Elmshorn,53.74973,9.68062,28306088
005056ba-7cb6-1ed2-bceb-ca8fb0594d54,star Tankstelle,STAR,Lange Lauchstädter Straße,2 a,06179,Teutschenthal,51.45225,11.81683,417dc490
02c3a06b-41c8-4c6a-87ca-32223c52df3a,Aral Tankstelle,ARAL,Winterhuder Weg,25,22085,Hamburg,53.5735741,10.0225811,1febf6ac
030e4dbb-bab4-4d78-9a68-0c9a7e7b59af,August Jaeger Nachf. GmbH & Co. KG - Meinerzhagen ,Freie,Oststr. ,42,58540,Meinerzhagen,51.10609,7.65476,0d053eb3
0469503a-59ff-4ce6-918c-be7315be1f0f,AVIA Tankstelle,AVIA,Straubinger Straße,15,93086,Wörth,48.99893,12.405746,3a35a2ab
064554c1-d960-444e-bc1b-0a0449711e44,"BERLIN, KAISER-FRIEDR.STR95.",Shell,KAISER-FRIEDRICH-STR. 95,,10585,BERLIN,52.515933,13.301201,5ce9d453
06b739d5-c8c9-4047-8529-5af9ebe20fce,M1 Burg,M1,Tuchmacherweg,16-18,39288,Burg,52.2475,11.8808,07a30a7e
0835be5d-aa12-4d94-a6bf-cd7972248d15,Carsten Moss,Westfalen,Brauckstr.,160,45892,Gelsenkirchen,51.57075,7.10276,148a7a27
0a3abfdc-d108-402b-b303-10a42c25f80a,Aral Tankstelle,ARAL,Weseler Straße,261,47169,Duisburg,51.5139275,6.741863,5ef22064
0b30f5a0-8900-406f-9d74-dd948144745e,Esso Tankstelle,ESSO,VEITSHOECHHEIMER STR. 22, ,97080,WUERZBURG,49.803203,9.92078,302b9338
